Wilaya_Code,Wilaya_Name,Maïs_Sup_ha,Maïs_Prod_qx,Maïs_Rdt_qx_ha,Sorgho_Sup_ha,Sorgho_Prod_qx,Sorgho_Rdt_qx_ha,Total_Cereales_Ete_Sup_ha,Total_Cereales_Ete_Prod_qx,Total_Cereales_Ete_Rdt_qx_ha
1,ADRAR,871,31825,36.5,178,26155,146.9,1049,57980,55.3
2,CHLEF,0,0,0.0,0,0,0.0,0,0,0.0
3,LAGHOUAT,0,0,0.0,0,0,0.0,0,0,0.0
4,O.E.BOUAGHI,45,3300,73.3,0,0,0.0,45,3300,73.3
5,BATNA,0,0,0.0,0,0,0.0,0,0,0.0
6,BEJAIA,0,0,0.0,0,0,0.0,0,0,0.0
7,BISKRA,50,0,0.0,0,0,0.0,50,0,0.0
8,BECHAR,0,0,0.0,0,0,0.0,0,0,0.0
9,BLIDA,0,0,0.0,0,0,0.0,0,0,0.0
10,BOUIRA,0,0,0.0,0,0,0.0,0,0,0.0
11,TAMANRASSET,0,0,0.0,0,0,0.0,0,0,0.0
12,TEBESSA,53,3350,63.2,45,3300,73.3,98,6650,67.9
13,TLEMCEN,0,0,0.0,0,0,0.0,0,0,0.0
14,TIARET,0,0,0.0,0,0,0.0,0,0,0.0
15,TIZI-OUZOU,0,0,0.0,0,0,0.0,0,0,0.0
16,ALGER,0,0,0.0,0,0,0.0,0,0,0.0
17,DJELFA,0,0,0.0,0,0,0.0,0,0,0.0
18,JIJEL,82,10200,124.4,0,0,0.0,82,10200,124.4
19,SETIF,0,0,0.0,0,0,0.0,0,0,0.0
20,SAIDA,0,0,0.0,0,0,0.0,0,0,0.0
21,SKIKDA,105,4750,45.2,2,360,180.0,107,5110,47.8
22,S.B.ABBES,0,0,0.0,0,0,0.0,0,0,0.0
23,ANNABA,0,0,0.0,0,0,0.0,0,0,0.0
24,GUELMA,0,0,0.0,0,0,0.0,0,0,0.0
25,CONSTANTINE,0,0,0.0,0,0,0.0,0,0,0.0
26,MEDEA,0,0,0.0,0,0,0.0,0,0,0.0
27,MOSTAGANEM,0,0,0.0,0,0,0.0,0,0,0.0
28,M'SILA,0,0,0.0,0,0,0.0,0,0,0.0
29,MASCARA,0,0,0.0,0,0,0.0,0,0,0.0
30,OUARGLA,30,1350,45.0,0,0,0.0,30,1350,45.0
31,ORAN,0,0,0.0,0,0,0.0,0,0,0.0
32,EL-BAYADH,5,350,70.0,0,0,0.0,5,350,70.0
33,ILLIZI,0,0,0.0,0,0,0.0,0,0,0.0
34,B.B.ARRERIDJ,0,0,0.0,0,0,0.0,0,0,0.0
35,BOUMERDES,0,0,0.0,0,0,0.0,0,0,0.0
36,EL-TARF,0,0,0.0,0,0,0.0,0,0,0.0
37,TINDOUF,0,0,0.0,0,0,0.0,0,0,0.0
38,TISSEMSILT,0,0,0.0,0,0,0.0,0,0,0.0
39,EL-OUED,0,0,0.0,0,0,0.0,0,0,0.0
40,KHENCHELA,0,0,0.0,0,0,0.0,0,0,0.0
41,SOUK-AHRAS,0,0,0.0,0,0,0.0,0,0,0.0
42,TIPAZA,0,0,0.0,0,0,0.0,0,0,0.0
43,MILA,0,0,0.0,0,0,0.0,0,0,0.0
44,AIN-DEFLA,0,0,0.0,0,0,0.0,0,0,0.0
45,NAAMA,0,0,0.0,0,0,0.0,0,0,0.0
46,A.TEMOUCHENT,0,0,0.0,0,0,0.0,0,0,0.0
47,GHARDAIA,0,0,0.0,0,0,0.0,0,0,0.0
48,RELIZANE,0,0,0.0,40,6400,160.0,40,6400,160.0
TOTAL,ALGERIE,1241,55125,44.4,265,36215,136.7,1506,91340,60.7